Strategy,K,Track,FS,Gap,FavMin,Cond,Card,Races,Hits,ROI%,HitRate%,AvgPay,TrainROI%,TestROI%,LOOCV_PosYrs,LOOCV_PosRatio,LOOCV_MedianROI,LOOCV_MeanROI
K1W7_BEL_FS11-14_Gap0.20_Fav0.35_fast_midlate,7,BEL,11-14,0.2,0.35,fast,midlate,97,30,114.74,30.93,833.18,97.68,207.96,9/13,0.692,163.35,176.5
K1W7_BEL_FS11-13_Gap0.22_Fav0.35_fast_all,7,BEL,11-13,0.22,0.35,fast,all,101,32,114.15,31.68,811.1,107.3,147.99,9/13,0.692,192.11,166.2
K1W7_BEL_FS11-12_Gap0.22_Fav0.00_fast_midlate,7,BEL,11-12,0.22,0.0,fast,midlate,86,25,112.97,29.07,879.15,91.93,242.71,9/13,0.692,73.54,227.7
K1W7_BEL_FS11-12_Gap0.22_Fav0.30_fast_midlate,7,BEL,11-12,0.22,0.3,fast,midlate,86,25,112.97,29.07,879.15,91.93,242.71,9/13,0.692,73.54,227.7
K1W7_BEL_FS11-14_Gap0.22_Fav0.35_fast_all,7,BEL,11-14,0.22,0.35,fast,all,102,32,112.05,31.37,811.1,104.86,147.99,9/13,0.692,179.81,164.2
K1W7_BEL_FS11-12_Gap0.22_Fav0.40_all_midlate,7,BEL,11-12,0.22,0.4,all,midlate,76,25,109.54,32.89,764.4,73.11,419.19,9/13,0.692,67.5,224.9
K1W7_BEL_FS11-12_Gap0.20_Fav0.40_all_midlate,7,BEL,11-12,0.2,0.4,all,midlate,77,26,108.53,33.77,741.08,73.11,376.13,9/13,0.692,67.5,216.6
K1W7_BEL_FS11-12_Gap0.20_Fav0.35_fast_midlate,7,BEL,11-12,0.2,0.35,fast,midlate,92,29,108.44,31.52,793.51,86.63,229.95,9/13,0.692,59.58,167.8
K1W7_BEL_FS11-13_Gap0.20_Fav0.00_fast_midlate,7,BEL,11-13,0.2,0.0,fast,midlate,105,32,107.05,30.48,815.26,86.32,207.23,9/13,0.692,163.35,148.5
K1W7_BEL_FS11-13_Gap0.20_Fav0.30_fast_midlate,7,BEL,11-13,0.2,0.3,fast,midlate,105,32,107.05,30.48,815.26,86.32,207.23,9/13,0.692,163.35,148.5
K1W7_BEL_FS11-12_Gap0.22_Fav0.35_fast_all,7,BEL,11-12,0.22,0.35,fast,all,97,31,105.94,31.96,773.28,94.57,163.49,9/13,0.692,53.08,154.7
K1W7_BEL_FS11-12_Gap0.15_Fav0.40_all_midlate,7,BEL,11-12,0.15,0.4,all,midlate,78,26,105.86,33.33,741.08,70.6,376.13,9/13,0.692,67.5,214.5
K1W7_BEL_FS11-14_Gap0.20_Fav0.00_fast_midlate,7,BEL,11-14,0.2,0.0,fast,midlate,106,32,105.1,30.19,815.26,84.21,207.23,9/13,0.692,163.35,146.8
K1W7_BEL_FS11-14_Gap0.20_Fav0.30_fast_midlate,7,BEL,11-14,0.2,0.3,fast,midlate,106,32,105.1,30.19,815.26,84.21,207.23,9/13,0.692,163.35,146.8
K1W7_BEL_FS11-12_Gap0.05_Fav0.40_all_midlate,7,BEL,11-12,0.05,0.4,all,midlate,79,27,104.05,34.18,716.43,69.06,376.13,9/13,0.692,67.5,213.0
K1W7_BEL_FS11-12_Gap0.10_Fav0.40_all_midlate,7,BEL,11-12,0.1,0.4,all,midlate,79,27,104.05,34.18,716.43,69.06,376.13,9/13,0.692,67.5,213.0
K1W7_BEL_FS11-13_Gap0.22_Fav0.40_all_midlate,7,BEL,11-13,0.22,0.4,all,midlate,79,25,101.58,31.65,764.4,68.17,361.5,9/13,0.692,34.0,222.3
K1W7_BEL_FS11-12_Gap0.20_Fav0.00_fast_midlate,7,BEL,11-12,0.2,0.0,fast,midlate,100,31,100.87,31.0,777.58,75.39,225.3,9/13,0.692,139.04,138.4
K1W7_BEL_FS11-12_Gap0.20_Fav0.30_fast_midlate,7,BEL,11-12,0.2,0.3,fast,midlate,100,31,100.87,31.0,777.58,75.39,225.3,9/13,0.692,139.04,138.4
K1W7_BEL_FS11-13_Gap0.20_Fav0.40_all_midlate,7,BEL,11-13,0.2,0.4,all,midlate,80,26,100.71,32.5,741.08,68.17,328.52,9/13,0.692,34.0,214.0
